time, step, color, speed, distance, stop, deviation, integral, derivative
58310,0,33,119.5,2550, False,-4.5,0,-37
58450,0,6,120,2550, False,-31.5,-31.5,-27
58601,0,35,120.5,2214, False,-2.5,0,29
58748,0,74,121,2181, False,36.5,0,39
58878,0,52,121.5,2550, False,14.5,14.5,-22
59041,0,6,122,2132, False,-31.5,0,-46
59199,0,32,122.5,2114, False,-5.5,0,26
59351,0,77,123,2550, False,39.5,0,45
59487,0,60,123.5,2382, False,22.5,22.5,-17
59639,0,8,124,2366, False,-29.5,0,-52
59790,0,14,124.5,2231, False,-23.5,-23.5,6
59937,0,78,125,2185, False,40.5,0,64
60081,0,74,125.5,1989, False,36.5,36.5,-4
60238,0,5,126,1927, False,-32.5,0,-69
60388,0,5,126.5,1909, False,-32.5,-32.5,0
60527,0,67,127,1892, False,29.5,0,62
60668,0,77,127.5,1900, False,39.5,39.5,10
60818,0,11,128,1843, False,-26.5,0,-66
60950,0,6,128.5,1829, False,-31.5,-31.5,-5
61093,0,42,129,1805, False,4.5,0,36
61230,0,68,129.5,1791, False,30.5,30.5,26
61368,0,33,130,1771, False,-4.5,0,-35
61501,0,9,130,1748, False,-28.5,-28.5,-24
61641,0,11,130,1730, False,-26.5,-55,2
61800,0,57,130,1706, False,19.5,0,46
61951,0,69,130,1694, False,31.5,31.5,12
62093,0,16,130,1671, False,-21.5,0,-53
62246,0,5,130,1656, False,-32.5,-32.5,-11
62392,0,73,130,1627, False,35.5,0,68
62541,0,75,130,1611, False,37.5,37.5,2
62686,0,22,130,1588, False,-15.5,0,-53
62849,0,5,130,1567, False,-32.5,-32.5,-17
63009,0,65,130,1551, False,27.5,0,60
63160,0,73,130,1535, False,35.5,35.5,8
63308,0,17,130,1512, False,-20.5,0,-56
63469,0,6,130,1489, False,-31.5,-31.5,-11
63619,0,59,130,1482, False,21.5,0,53
63779,0,72,130,1448, False,34.5,34.5,13
63952,0,18,130,1421, False,-19.5,0,-54
64127,0,5,130,1399, False,-32.5,-32.5,-13
64312,0,64,130,1376, False,26.5,0,59
64460,0,76,130,1360, False,38.5,38.5,12
64600,0,15,130,1360, False,-22.5,0,-61
64767,0,16,130,1360, False,-21.5,-21.5,1
64908,0,77,130,1360, False,39.5,0,61
65056,0,78,130,1360, False,40.5,40.5,1
65208,0,79,130,1360, False,41.5,82,1
65347,0,81,130,1246, False,43.5,125.5,2
65489,0,79,130,1219, False,41.5,167,-2
65657,0,79,130,1199, False,41.5,208.5,0
65798,0,79,130,1187, False,41.5,250,0
65940,0,76,130,1183, False,38.5,288.5,-3
66079,0,77,130,1164, False,39.5,328,1
66239,0,75,130,1866, False,37.5,365.5,-2
66381,0,5,130,1842, False,-32.5,0,-70
66537,0,5,130,1817, False,-32.5,-32.5,0
66682,0,10,130,1801, False,-27.5,-60,5
66837,0,20,130,1779, False,-17.5,-77.5,10
66968,0,66,130,1767, False,28.5,0,46
67122,0,70,130,1752, False,32.5,32.5,4
67267,0,71,130,1726, False,33.5,66,1
67417,0,71,130,1706, False,33.5,99.5,0
67560,0,69,130,1688, False,31.5,131,-2
67701,0,74,130,1662, False,36.5,167.5,5
67869,0,76,130,1648, False,38.5,206,2
68011,0,37,130,1638, False,-0.5,0,-39
68148,0,23,130,1625, False,-14.5,-14.5,-14
68306,0,78,130,1597, False,40.5,0,55
68448,0,80,130,1581, False,42.5,42.5,2
68581,0,80,130,1569, False,42.5,85,0
68728,0,78,130,1563, False,40.5,125.5,-2
68886,0,79,130,1551, False,41.5,167,1
69047,0,75,130,2550, False,37.5,204.5,-4
69188,0,73,130,2550, False,35.5,240,-2
69337,0,44,130,2550, False,6.5,0,-29
69497,0,5,130,2550, False,-32.5,0,-39
69630,0,5,130,2550, False,-32.5,-32.5,0
69772,0,29,130,2550, False,-8.5,0,24
69927,0,42,130,2550, False,4.5,0,13
70072,0,24,130,2550, False,-13.5,0,-18
70227,0,10,130,2550, False,-27.5,-27.5,-14
70398,0,50,130,2550, False,12.5,0,40
70542,0,69,130,2550, False,31.5,31.5,19
70691,0,14,130,2550, False,-23.5,0,-55
70827,0,4,130,2550, False,-33.5,-33.5,-10
70971,0,48,130,2550, False,10.5,0,44
71118,0,68,130,2550, False,30.5,30.5,20
71258,0,50,130,2550, False,12.5,43,-18
71417,0,7,130,2550, False,-30.5,0,-43
71559,0,12,130,2550, False,-25.5,-25.5,5
71701,0,55,130,2550, False,17.5,0,43
71850,0,58,130,1876, False,20.5,20.5,3
71988,0,15,130,2550, False,-22.5,0,-43
72131,0,7,130,2550, False,-30.5,-30.5,-8
72276,0,58,130,2380, False,20.5,0,51
72422,0,73,130,2550, False,35.5,35.5,15
72567,0,46,130,2495, False,8.5,0,-27
72717,0,8,130,1762, False,-29.5,0,-38
72850,0,32,130,1726, False,-5.5,0,24
72999,0,83,130,2550, False,45.5,0,51
73149,0,43,130,1687, False,5.5,0,-40
73299,0,5,130,1668, False,-32.5,0,-38
73439,0,8,130,1648, False,-29.5,-29.5,3
73580,0,45,130,2350, False,7.5,0,37
73717,0,66,130,2288, False,28.5,28.5,21
73878,0,17,130,1603, False,-20.5,0,-49
74019,0,5,130,1566, False,-32.5,-32.5,-12
74161,0,52,130,1577, False,14.5,0,47
74315,0,76,130,1557, False,38.5,38.5,24
74459,0,17,130,1520, False,-20.5,0,-59
74596,0,6,130,1520, False,-31.5,-31.5,-11
74757,0,41,130,1520, False,3.5,0,35
74901,0,57,130,1520, False,19.5,19.5,16
75038,0,16,130,1520, False,-21.5,0,-41
75180,0,7,130,1520, False,-30.5,-30.5,-9
75321,0,66,130,1520, False,28.5,0,59
75485,0,78,130,1520, False,40.5,40.5,12
75628,0,7,130,1520, False,-30.5,0,-71
75768,0,6,130,1366, False,-31.5,-31.5,-1
75908,0,38,130,1490, False,0.5,0,32
76040,0,64,130,1490, False,26.5,26.5,26
76187,0,25,130,1420, False,-12.5,0,-39
76347,0,6,130,1421, False,-31.5,-31.5,-19
76490,0,48,130,1397, False,10.5,0,42
76641,0,75,130,1413, False,37.5,37.5,27
76781,0,36,130,2550, False,-1.5,0,-39
76927,0,6,130,1468, False,-31.5,-31.5,-30
77078,0,33,130,2550, False,-4.5,0,27
77218,0,75,130,1341, False,37.5,0,42
77360,0,61,130,2343, False,23.5,23.5,-14
77517,0,17,130,1716, False,-20.5,0,-44
77657,0,10,130,1305, False,-27.5,-27.5,-7
77800,0,79,130,1262, False,41.5,0,69
77941,0,74,130,1227, False,36.5,36.5,-5
78080,0,70,130,2261, False,32.5,69,-4
78220,0,69,130,2243, False,31.5,100.5,-1
78360,0,68,130,2243, False,30.5,131,-1
78492,0,71,130,2243, False,33.5,164.5,3
78657,0,72,130,1942, False,34.5,199,1
78800,0,75,130,1160, False,37.5,236.5,3
78947,0,79,130,1121, False,41.5,278,4
79118,0,61,130,1092, False,23.5,301.5,-18
79261,0,6,130,1080, False,-31.5,0,-55
79403,0,13,130,1058, False,-24.5,-24.5,7
79547,0,82,130,1036, False,44.5,0,69
